canonical_id,canonical_name,scientific_name,authorship,rank,status,is_hybrid,accepted_canonical_id,authority_mappings_count,authorities
124,Goodyera yamiana,Goodyera yamiana Fukuy.,Fukuy.,species,accepted,False,,1,GBIF
125,Habenaria anisitsii,Habenaria anisitsii Kraenzl.,Kraenzl.,species,accepted,False,,2,GBIF
126,Gastrodia gunatillekeorum,"Gastrodia gunatillekeorum Bandara, Priyankara & Kumar","Bandara, Priyankara & Kumar",species,accepted,False,,2,GBIF
127,Habenaria ankylocentron,Habenaria ankylocentron Schuit. & J. J. Verm.,Schuit. & J. J. Verm.,species,accepted,False,,3,GBIF
128,Coelogyne acutilabium de,Coelogyne acutilabium de Vogel,Vogel,species,accepted,False,,1,GBIF
129,Holothrix nyasae,Holothrix nyasae Rolfe,Rolfe,species,accepted,False,,2,GBIF
130,Hylophila selebica,Hylophila selebica (J. J. Sm.) comb. ined.,(J. J. Sm.) comb. ined.,species,accepted,False,,1,GBIF
131,Hylophila vietnamensis,Hylophila vietnamensis Aver. & V. C. Nguyen,Aver. & V. C. Nguyen,species,accepted,False,,2,GBIF
132,Coelogyne locii,Coelogyne locii Aver.,Aver.,species,accepted,False,,1,GBIF
133,Lepidogyne,Lepidogyne Blume,Blume,genus,accepted,False,,2,GBIF;POWO
134,Coelogyne odoardi,Coelogyne odoardi Schltr.,Schltr.,species,accepted,False,,2,GBIF
135,Habenaria anomaliflora,Habenaria anomaliflora Kurzweil & Chantanaorr.,Kurzweil & Chantanaorr.,species,accepted,False,,2,GBIF
136,Habenaria avana,Habenaria avana Hook.f.,Hook.f.,species,accepted,False,,2,GBIF
137,Coelogyne tumida,Coelogyne tumida J. J. Sm.,J. J. Sm.,species,accepted,False,,2,GBIF
138,Coelogyne vanoverberghii,Coelogyne vanoverberghii Ames,Ames,species,accepted,False,,2,GBIF
139,Habenaria avicula,Habenaria avicula Schltr.,Schltr.,species,accepted,False,,2,GBIF
140,Habenaria aviculoides,Habenaria aviculoides Ames & C. Schweinf.,Ames & C. Schweinf.,species,accepted,False,,3,GBIF
141,Pterichis tunguraguona,Pterichis tunguraguona Rchb.f. ex Szlach. & Kolan.,Rchb.f. ex Szlach. & Kolan.,species,accepted,False,,2,GBIF
142,Habenaria ayangannensis,Habenaria ayangannensis Renz,Renz,species,accepted,False,,2,GBIF
143,Habenaria bacata,Habenaria bacata Dressler,Dressler,species,accepted,False,,2,GBIF
144,Dendrobium bifurcatum,Dendrobium bifurcatum T. Yukawa,T. Yukawa,species,accepted,False,,1,GBIF
145,Habenaria backeri,Habenaria backeri J. J. Sm.,J. J. Sm.,species,accepted,False,,2,GBIF
146,Bulbophyllum uroplatoides,Bulbophyllum uroplatoides Hermans & G. A. Fisch.,Hermans & G. A. Fisch.,species,accepted,False,,2,GBIF
147,Pterichis vasquezii,"Pterichis vasquezii Kolan., Baranow, S. Nowak & A. Fuentes","Kolan., Baranow, S. Nowak & A. Fuentes",species,accepted,False,,0,
148,Pterichis weberbaueriana,Pterichis weberbaueriana Kraenzl.,Kraenzl.,species,accepted,False,,1,GBIF
149,Pterichis yungasensis,Pterichis yungasensis Schltr.,Schltr.,species,accepted,False,,1,GBIF
150,Dendrobium perpaulum,Dendrobium perpaulum Seidenf.,Seidenf.,species,accepted,False,,1,GBIF
151,Cranichis elliptica,Cranichis elliptica Schltr.,Schltr.,species,accepted,False,,2,GBIF
152,Dendrobium thinhii,Dendrobium thinhii Aver.,Aver.,species,accepted,False,,1,GBIF
153,Dendrobium calcaratimentum,Dendrobium calcaratimentum P. O'Byrne,P. O'Byrne,species,accepted,False,,1,GBIF
154,Cranichis engelii,Cranichis engelii Rchb.f.,Rchb.f.,species,accepted,False,,2,GBIF
155,Bulbophyllum cornu-ovis,Bulbophyllum cornu-ovis Rysy,Rysy,species,accepted,False,,1,GBIF
156,Bulbophyllum elmeri,Bulbophyllum elmeri Ames,Ames,species,accepted,False,,1,GBIF
157,Bulbophyllum gilgianum,Bulbophyllum gilgianum Kraenzl.,Kraenzl.,species,accepted,False,,2,GBIF
158,Altensteinia elliptica,Altensteinia elliptica C. Schweinf.,C. Schweinf.,species,accepted,False,,1,GBIF
159,Pteroglossa magnifica,Pteroglossa magnifica Szlach.,Szlach.,species,accepted,False,,1,GBIF
160,Sarcoglottis catharinensis,Sarcoglottis catharinensis Mancinelli & E. C. Smidt,Mancinelli & E. C. Smidt,species,accepted,False,,1,GBIF
161,Bulbophyllum seabrense,Bulbophyllum seabrense Campacci,Campacci,species,accepted,False,,1,GBIF
162,Sarcoglottis pseudovillosa,"Sarcoglottis pseudovillosa Mytnik, Rutk. & Szlach.","Mytnik, Rutk. & Szlach.",species,accepted,False,,3,GBIF
163,Sarcoglottis retorta,Sarcoglottis retorta Sambin & Aucourd,Sambin & Aucourd,species,accepted,False,,0,
164,Bulbophyllum bariense,Bulbophyllum bariense Gagnep.,Gagnep.,species,accepted,False,,1,GBIF
165,Bulbophyllum basisetum,Bulbophyllum basisetum J. J. Sm.,J. J. Sm.,species,accepted,False,,1,GBIF
